Sl No.,Date,Startup Name,Industry Category,Sub-Category,City  Location,Investors Name,Investment Type,Amount in USD,Remarks
189,8/30/2018,True North,Finance,Private Equity Firm,Mumbai,N/A,Private Equity Funding,"60,00,00,000",N/A
190,1/7/2018,Leena AI,Technology,HR Virtual Agent For Employees,Gurugram,Y Combinator,Angel / Seed Funding,,N/A
191,2/7/2018,Biryani By Kilo,Consumer Internet,Online Food Delivery,Gurugram,Ajay Relan and Vinay Mittal,Angel / Seed Funding,"10,00,000",N/A
192,4/7/2018,Anchanto,IT,E-commerce Fulfilment Platform,Pune,MDI Ventures & Telkom Indonesia,Private Equity Funding,"40,00,000",N/A
193,5/7/2018,Loan Tap,Consumer Internet,Online Lending Platform For Salaried Professionals,Mumbai,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital",Private Equity Funding,"62,50,000",N/A
194,6/7/2018,PolicyBazaar,Consumer Internet,Online Insurance Selling Platform,Gurugram,Info Edge (India) Ltd and Temasek,Private Equity Funding,"2,77,00,000",N/A
195,9/7/2018,zippserv,Consumer Internet,Online Platform For Risk-Assessment Services For Real Estate Investments,Bengaluru,Info Edge (India) Ltd,Angel / Seed Funding,"4,40,000",N/A
196,9/7/2018,Groww,Consumer Internet,Online Platform That Sells Direct Plans Of Mutual Funds,Bengaluru,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Angel / Seed Funding,"11,00,000",N/A
197,10/7/2018,Avenue Growth,Consumer Internet,Online Platform That Connects Brands With Freelance Sales Professionals,Gurugram,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Angel / Seed Funding,"4,37,000",N/A
198,10/7/2018,iNICU,Healthcare,Med-tech Platform Providing Care For Newborns,Delhi,Venture Catalysts,Angel / Seed Funding,,N/A
199,10/7/2018,Kinara Capital,Finance,Lending Platform For Micro and Small Enterprises,Bengaluru,ResponsAbility,Private Equity Funding,"50,00,000",N/A
200,10/7/2018,Shop 101,Consumer Internet,Mobile Storefront And Commerce Platform For Sellers,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma",Private Equity Funding,"50,00,000",N/A
201,11/7/2018,Sambandh,Consumer Internet,Online Micro Lending Platform,Rourkela,Base of Pyramid Asia (BOPA) Pte Ltd,Private Equity Funding,"25,00,000",N/A
202,12/7/2018,19th mile,IT,Artificial intelligence-based sales acceleration software platform,Gurugram,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",Angel / Seed Funding,"1,80,000",N/A
203,12/7/2018,5th Vital,Healthcare,Home diagnostics services provider,Bengaluru,Brand Capital and Others,Angel / Seed Funding,"5,00,000",N/A
204,7/13/2018,MEngage,Healthcare,A Doctor-Patient Engagement Platform,Jaipur,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab and others.",Angel / Seed Funding,"1,75,000",N/A
205,7/17/2018,Ofbusiness,Finance,Online Lending Platform For SME,Gurugram,"Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital",Private Equity Funding,"2,90,00,000",N/A
206,7/17/2018,Cars24,Consumer Internet,Online Used Car Marketplace,Gurugram,"Kingsway FCI Fund, KCK Global & Others",Private Equity Funding,"4,97,00,000",N/A
207,7/18/2018,The Ken,Consumer Internet,Subscription-Only News Website,Bengaluru,Omidyar Network & Others,Angel / Seed Funding,"15,00,000",N/A
208,7/19/2018,Book My Show,Consumer Internet,Online Ticketing Platform,Mumbai,"TPG Growth, The Rise Fund & Others",Private Equity Funding,"10,00,00,000",N/A
209,7/20/2018,HousingMan,Consumer Internet,Property Discovery Platform,Bengaluru,N/A,Angel / Seed Funding,"15,00,000",N/A
210,7/21/2018,PaySense,Consumer Internet,Online Consumer Lending Platform,Mumbai,PayU & Others,Private Equity Funding,"1,80,00,000",N/A
211,7/23/2018,Yulu Bikes,Technology,Bicycle-Sharing Platform,Bengaluru,N/A,Angel / Seed Funding,,N/A
212,7/23/2018,VTION,Technology,Media Analytics,Gurugram,"AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar.",Angel / Seed Funding,"2,80,000",N/A
213,7/23/2018,Log9 Materials,Technology,Nanotechnology Company Specializing In Graphene,Bengaluru,"Metaform Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners and Others",Angel / Seed Funding,"4,36,000",N/A
214,7/24/2018,kidovators,Ed-Tech,Skill Learning Platform,Bengaluru,Gray Matters,Angel / Seed Funding,"1,80,000",N/A
215,7/24/2018,Digit,Consumer Internet,Online Insurance Startup,Pune,Fairfax,Private Equity Funding,"4,50,00,000",N/A
216,7/25/2018,Black Soil,Finance,Non-Banking Financial Company,Mumbai,"Allcargo Logistics, Navneet Education and Mahavir Agency",Private Equity Funding,"1,70,00,000",N/A
217,7/25/2018,Trell,Consumer Internet,Mobile-First Video Blogging App,Bengaluru,"BeeNext , WEH Ventures and Sprout Ventures",Angel / Seed Funding,"12,50,000",N/A
218,7/25/2018,iqlect,Technology,Data Analytics Firm,Bengaluru,Ventureast and Exfinity,Angel / Seed Funding,"25,00,000",N/A
219,7/26/2018,Entropik,IT,Software-As-A-Service Platform,Bengaluru,"Bharat Innovation, IDFC-Parampara Capital, Arthavida Ventures, Jitendra Gupta & Others",Angel / Seed Funding,"11,00,000",N/A
220,7/26/2018,Bitla Software,Technology,Travel-Focused Tech Startup,Bengaluru,MakeMyTrip,Private Equity Funding,,N/A
221,7/26/2018,TheCapitalNet,Fin-Tech,Unified Global Investments Ecosystem,Hyderabad,Lindwall Family Investments LLC (LFI),Private Equity Funding,"5,00,000",N/A
222,7/30/2018,Shuttl,Consumer Internet,Bus Aggregation Platform,Gurugram,Amazon Alexa Fund & Dentsu Ventures,Private Equity Funding,"1,10,00,000",N/A
223,7/30/2018,Cure Fit,Consumer Internet,Health and fitness Platform,Bengaluru,"IDG Ventures, Accel Partners, Kalaari Capital and Others",Private Equity Funding,"12,00,00,000",N/A
224,7/31/2018,Five Star Group,Fin-Tech,Non-Bank Lending Platform For SME,Chennai,"TPG, Norwest Venture Partners, Sequoia Capital & Matrix Partners",Private Equity Funding,"10,00,00,000",N/A
225,7/31/2018,Healthsignz,Healthcare,Health and Well being Platform,Hyderabad,Kantilal Patel,Angel / Seed Funding,"50,00,000",N/A
226,1/6/2018,CoinTribe,Finance,Credit-Based Lending Marketplace For Small And Medium Enterprises,Gurugram,"Sabre Partners, Puneet Dalmia & Others",Private Equity Funding,"1,00,00,000",N/A
227,4/6/2018,Digiconectt,Technology,Sales Analytics and Enablement Platform,Bengaluru,Aspire Logistics LLC,Angel / Seed Funding,"1,25,000",N/A
228,4/6/2018,Kashmir Box,E-Commerce,"Online Marketplace For Handicrafts, Handlooms And Local Produce",Srinagar,"Bhairavi Jani, Alok Divatia, Namrata Kaul, Sohail Hashemi, Aijaz Saleem",Angel / Seed Funding,,N/A
229,5/6/2018,Crowdera,Finance,Online Crowdfunding Platform,Nagpur,"Anil Advani, Pramod Jain, Amrendra Reddy and Manish Satnaliwala.",Angel / Seed Funding,,N/A
230,5/6/2018,Zoctr,Healthcare,Online Healthcare Aggregator,Mumbai,NB Ventures and Others,Angel / Seed Funding,,N/A
231,7/6/2018,Annapurna Finance,Finance,Non-Banking Financial Company,Bhubneswar,Oman India Joint Investment Fund (OIJIF),Private Equity Funding,"2,30,00,000",N/A
232,7/6/2018,Meesho,Consumer Internet,Online Marketplace For Resellers,Bengaluru,"Sequoia Capital India, SAIF Partners, Y Combinator and Venture Highway",Private Equity Funding,"1,15,00,000",N/A
233,10/6/2018,AyeFinance,Finance,Online Lending Platform,Gurugram,"CapitalG, SAIF Partners and LGT Impact Ventures",Private Equity Funding,"2,15,00,000",N/A
234,11/6/2018,Theranosis,Healthcare,Specialised diagnostics Platform,Hyderabad,Mumbai Angels Network,Angel / Seed Funding,,N/A
235,12/6/2018,Alpha Capital,Finance,Supplychain Finance,Mumbai,Alpha Capital,Private Equity Funding,"1,48,00,000",N/A
236,12/6/2018,eshakti,E-Commerce,Fashion e-tailer,Chennai,Paragon Partners,Private Equity Funding,"1,01,00,000",N/A
237,12/6/2018,Daily Ninja,Consumer Internet,Hyperlocal Delivery Platform,Bengaluru,Saama Capital and Sequoia Capital,Angel / Seed Funding,"30,00,000",N/A
238,6/13/2018,NirogStreet,Healthcare,An Online Platform That Connects Ayurveda Doctors With Patients,Gurugram,"Spiral Ventures, Subho Ray and Samir Kumar",Angel / Seed Funding,"3,000,00",N/A
239,6/13/2018,Nivesh,Finance,Mass Market Mutual Fund Investment Platform,Noida,"LetsVenture, Rajan Anandan, Basab Pradhan, Vivek Khare and Bijoy George",Angel / Seed Funding,"4,50,000",N/A
240,6/13/2018,What\\xe2\\x80\\x99s Up Life,Consumer Internet,"A Local Discovery App For Dining-Out, Party, Leisure and Events",Gurugram,Rannvijay Singha,Angel / Seed Funding,,N/A
241,6/14/2018,HomeLane,Consumer Internet,Online Home Furnishing Solutions,Bengaluru,Brand Capital,Angel / Seed Funding,"34,50,000",N/A
242,6/14/2018,Network Intelligence,Technology,Cybersecurity Specialist,Mumbai,Helix Investments,Private Equity Funding,"48,00,000",N/A
243,6/18/2018,Tynor Othontics,Healthcare,Prosthetics Manufacturers,Chandigarh,Lighthouse Funds & Thuasne Participations,Private Equity Funding,"2,10,00,000",N/A
244,6/18/2018,Elucidata,IT,Data Analytics (SaaS),Delhi & Cambridge,Hyperplane Venture Capital and several angel investors,Angel / Seed Funding,"17,00,000",N/A
245,6/19/2018,Chrysalis,Ed-Tech,Education Services Provider,Pune,Menterra Venture & Artha Initiatives,Angel / Seed Funding,,N/A
246,6/19/2018,RentSher,Consumer Internet,Online Rental Marketplace,Bengaluru,"Shorooq Investments, LetsVenture & Others",Angel / Seed Funding,"11,00,000",N/A
247,6/20/2018,Drip capital,Finance,Trade Finance Firm,Mumbai,"Accel Partners, Sequoia India, Y Combinator and others.",Private Equity Funding,"1,50,00,000",N/A
248,6/22/2018,WickedRide,Consumer Internet,Online Motorbike And Scooter Rental Platforms,Bengaluru,"Sequoia Capital, Accel Partners & Raghunandan Gangappa",Private Equity Funding,"91,00,000",N/A
249,6/25/2018,PolicyBazaar,Consumer Internet,Online Insurance Selling Platform,Gurugram,SoftBank Vision Fund & Info Edge (India) Ltd,Private Equity Funding,"20,00,00,000",N/A
250,6/25/2018,HipBar,Consumer Internet,Digital Payment Platform For Beverage Delivery,Bengaluru,Diageo India,Private Equity Funding,"40,00,000",N/A
251,6/25/2018,Sqqrl,Finance,App-based investment platform,Gurugram,Equanimity Venture Fund,Angel / Seed Funding,"10,00,000",N/A
252,6/26/2018,Paytm,Technology,Digital Payment Platform,Noida,One 97 Communications,Private Equity Funding,"89,50,000",N/A
253,6/26/2018,Sigtuple,Healthcare,Data Driven Intelligence Solutions Platform,Bengaluru,"Accel Partners, IDG Venture, Endiya Partners, pi Ventures, VH Capital, Axilor Ventures and Binny Bansal",Private Equity Funding,"1,90,00,000",N/A
254,6/27/2018,Wow Express,Technology,E-commerce Logistics Platform,Mumbai,Undisclosed Existing Investors As Well As The Tamarind Family Trust,Private Equity Funding,"45,00,000",N/A
255,6/28/2018,Front Desk AI,Technology,An AI Platform Offering Automated Customer Service Software,Bengaluru,Speciale Invest & Others,Angel / Seed Funding,"11,00,000",N/A
256,6/28/2018,Edureka,Ed-Tech,Online Education Platform,Bengaluru,Leo Capital,Angel / Seed Funding,"20,00,000",N/A
257,6/29/2018,Numeroseven,Technology,An Artificial Intelligence-Based Recruitment Platform,Kolkatta,Shiva Gunapu & Others,Angel / Seed Funding,,N/A
258,2/5/2018,OpenTap,Finance,Online Lending Platform,Chennai,Unknown High Net-Worth Individuals,Angel / Seed Funding,"4,50,000",N/A
259,2/5/2018,Bizongo,Consumer Internet,Aggregator For Packaging Material,Mumbai,"B Capital, International Finance Corporation (IFC), Accel Partners and IDG Ventures",Private Equity Funding,"2,20,00,000",N/A
260,3/5/2018,Disprz,IT,SaaS,Chennai,"IL&FS Private Equity, Kae Capital & Others",Angel / Seed Funding,"25,00,000",N/A
261,7/5/2018,PaisaDukan,Consumer Internet,P2P Lending Platform,Mumbai,N/A,Angel / Seed Funding,"2,25,000",N/A
262,9/5/2018,i3sysytems,Technology,AI product company For Health and Life Insurane Companies,Mumbai,"Unitus Ventures, Behram Vakil and Jerxis Vandrevala",Angel / Seed Funding,"10,00,000",N/A
263,11/5/2018,Earth Food,Consumer Internet,Agri-tech,Pune,Rairah Corporation,Angel / Seed Funding,"9,49,000",N/A
264,5/14/2018,Nykaa,Consumer Internet,Beauty e-tailer,Mumbai,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others",Private Equity Funding,"2,40,00,000",N/A
265,5/16/2018,mfine,Healthcare,Doctor-Consultation App,Bengaluru,"Prime Venture Partners, Stellaris Venture Partners and Mayur Abhaya Srisrimal",Private Equity Funding,"$4,200,000.00",N/A
266,5/21/2018,Rocketium,Technology,Online Video Creation Platform,Bengaluru,Blume ventures,Angel / Seed Funding,"3,00,000",N/A
267,5/21/2018,MilkBasket,Technology,Micro-Delivery Grocery Startup,Gurugram,"Kalaari Capital, Unilever Ventures and Blume Ventures",Private Equity Funding,"70,00,000",N/A
268,5/22/2018,Vola,Finance,Micro Lending Platform,Bengaluru,Credika and unnamed angel investors,Angel / Seed Funding,"5,00,000",N/A
269,5/22/2018,Cashkumar,Consumer Internet,P2P Lending Platform,Bengaluru,LetsVenture,Angel / Seed Funding,"7,35,000",N/A
270,5/23/2018,Edyoo,E-Commerce,Products For Shoolgoing Children,Bengaluru,RS Shanbag,Angel / Seed Funding,"7,35,000",N/A
271,5/23/2018,Aashiyaan,Finance,Housing Finance For Low-Income Families,Kolkata,"Insistor, Oikocredit",Angel / Seed Funding,"20,00,000",N/A
272,5/24/2018,Smartivity,Ed-tech,Designer Of Toys and Learning Projects For Kids,Delhi,"Ashish Kacholi, S Chand Group",Angel / Seed Funding,"20,00,000",N/A
273,5/24/2018,Bonphulapl,Clean-tech,Oxygen Optimiser Manufacturer,Delhi,Atul Gupta and Saurabh Rastogi,Angel / Seed Funding,"2,93,000",N/A
274,5/27/2018,Acko,Consumer Internet,Online Insurance Platform,Mumbai,"Amazon, Ashish Dhawan, Catamaran Ventures, NR Narayana Murthy.",Angel / Seed Funding,"1,20,00,000",N/A
275,5/28/2018,HWell24,Healthcare,Home Healthcare Aggregator,Mumbai,"Prashant Mehta, Mitali Pawar, Nikhil G and Bhavesh P, R Ranganathan, ONCOTRUST and Medintel Services Pvt. Ltd",Angel / Seed Funding,"2,00,000",N/A
276,5/29/2018,Toffee,Consumer Internet,Online Insurance Platform,Gurugram,"Kalaari Capital, Omidyar Network and Accion Venture Labs",Angel / Seed Funding,"15,00,000",N/A
277,5/29/2018,Tonetag,Technology,Mobile Payments Technology Platform,Bengaluru,Amazon Inc. and Mastercard,Private Equity Funding,"80,00,000",N/A
278,5/30/2018,Events High,Consumer Internet,Events and Activities Discovery Platform,Bengaluru,Treebo,Private Equity Funding,,N/A
279,5/30/2018,Stellaps,Technology,Iot Application Platform In Agriculture,Bengaluru,"IndusAge Partners, Bill & Melinda Gates Foundation, Qualcomm Venture, ABB Technology Ventures, Omnivore, Blume Ventures, Venture Highway and BEENEXT",Private Equity Funding,"1,40,00,000",N/A
280,5/31/2018,Credright,Consumer Internet,Lending Platform For SMEs,Hyderabad,"Accion Venture Lab, YourNest Venture Capital And Other Angel Investors",Angel / Seed Funding,"13,000,00",N/A
281,2/4/2018,Fitternity,Consumer Internet,Online Fitness Discovey Platform,Mumbai,"Exfinity Venture, Saha fund Partners, Arihant Patni of Patni Family Office, Anjali Bansal, Shardul Amarchand Mangaldas, Satish Khanna and Taparia family office.",Private Equity Funding,"20,00,000",N/A
282,2/4/2018,Synctag,Technology,Social Media Anlaytics Platform,Coimbatore,Subhkam Ventures and Mohit Khadaria,Angel / Seed Funding,"3,07,600",N/A
283,2/4/2018,Benepik,Technology,Enhanced Employee Engagement Platform,Gurugram,"Vishal Bali, Yogesh Misra, Thomas Assessments and others",Angel / Seed Funding,,N/A
284,2/4/2018,Finzy,Consumer Internet,Online Loan Matchmaking Platform,Bengaluru,N/A,Angel / Seed Funding,"13,00,000",N/A
285,4/4/2018,Varthana,Finance,Loans and Services To Affordable Private Schools in India,Bengaluru,"ChrysCapital, Existing investors, Elevar Equity, LGT Impact, Omidyar Network and Kaizen Private Equity also participated in the round",Private Equity Funding,"5,50,00,000",N/A
286,5/4/2018,IndigoLearn,Ed-Tech,Online Education Platform,Hyderabad,"Maheshwar Peri, founder and chairman of career information portal Careers360, and Jamshed Jeejeebhoy, director at Byramjee Jeejeebhoy Pvt. Ltd were among the angels",Angel / Seed Funding,"1,50,000",N/A
287,5/4/2018,Vedantu,Ed-Tech,Interactive Online Tutoring Platform,Bangalore,"Accel Partners, Tiger Global And Others",Private Equity Funding,"1,00,00,000",N/A
288,9/4/2018,Kaleidofin,Fiinance,Digital Financial Services Platform,Chennai,Omidyar Network. Blume Ventures and Professor Shlomo Ben-Haim,Angel / Seed Funding,"28,00,000",N/A
289,9/4/2018,Pipabella,Consumer Internet,Fashion Accessories Etailer,Mumbai,Fireside Ventures,Angel / Seed Funding,"1,000,000,",N/A
290,9/4/2018,Elemential,Technology,Blockchain Platform,Mumbai,"Matrix Partner, Amrish Rau, Investopad, Digital Currency Group, Hinduja Group, Lightspeed India, Eight Innovate, Amit Ranjan, Prashant Malik and others",Angel / Seed Funding,,N/A
291,9/4/2018,Kriger Campus,Ed-Tech,Mobile-Based Education Network,Delhi,N/A,Angel / Seed Funding,"$46,140.00",N/A
292,10/4/2018,Loanzen,Finance,Digital Lending Platform In Logistics,Bengaluru,Kae Capital Management,Angel / Seed Funding,,N/A
293,10/4/2018,TravelTriangle,Consumer Internet,Online Travel Marketplace,Gurugram,"Fundamentum, SAIF Partners, Bessemer Venture Partners, RB investments & Others",Private Equity Funding,"1,20,00,000",N/A
294,12/4/2018,Letsmd,Healthcare,Platform To Discover Healthcare Financing Options,Delhi,"SRI Capital, Waterbridge Ventures and ThinKuvate",Angel / Seed Funding,"10,00,000",N/A
295,12/4/2018,AyeFinance,Finance,Online Lending Platform,Gurugram,"BlueOrchard Finance Ltd, Hinduja Leyland Finance and IntelleGrow",Debt Funding,"46,000,00",N/A
296,4/13/2018,mintifi,Finance,Online Lending Platform,Mumbai,Lok Capital,Angel / Seed Funding,"20,00,000",N/A
297,4/16/2018,icanstay,Consumer Internet,Online Platform For Luxury Hotel Stay For Business Travelers,Delhi,Mr. Manoj Prasad,Angel / Seed Funding,"5,00,000",N/A
298,4/16/2018,Pregbuddy,Healthcare,Connected Care App For Pregnant Women,Bengaluru,"Rajan Anandan, Madhusudhan Kannan, Jayant Kadambi, Puneet Gupta and Pradeep K Jaisingh",Angel / Seed Funding,,N/A
299,4/18/2018,Coverfox,Consumer Internet,Online Insurance Aggregator,Mumbai,"International Finance Corporation, Transamerica and others.",Private Equity Funding,"2,20,00,000",N/A
300,4/19/2018,Lenskart,Consumer Internet,Online Eyewear Retailer,Faridabad,TR Capital,Private Equity Funding,,N/A
301,4/19/2018,mamaearth,Healthcare,Online Baby care Products,Gurugram,Shilpa Shetty Kundra,Private Equity Funding,,N/A
302,4/19/2018,Fyle Technologies,Technology,AI Based Expense Management Platform,Bengaluru,Pravega Ventures and Beenext,Angel / Seed Funding,"11,000,00",N/A
303,4/19/2018,True Balance,Technology,Mobile Balance Checking App,Gurugram,"Line Ventures Corporation, Line Corp, Naver, Shinhan Bank and TS Investment",Private Equity Funding,"2,30,00,000",N/A
304,4/22/2018,Visit,Healthcare,AI Driven Health tech Platform,Delhi,"Biz Stone, Kunal Bahl, Rohit Bansal, Alagu Periyannan and Karthee Madasamy",Private Equity Funding,,N/A
305,4/22/2018,Doxper,Healthcare,Digitized Health-Tech Solutions For Practitioners,Mumbai,Vidal Healthcare,Angel / Seed Funding,"19,00,000",N/A
306,4/22/2018,Nykaa,Consumer Internet,Beauty e-tailer,Mumbai,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others",Private Equity Funding,"1,10,00,000",N/A
307,4/23/2018,Mihuru,Finance,Online Platform Providing Micro Loans For Air Travel,Mumbai,N/A,Angel / Seed Funding,"1,50,000",N/A
308,4/23/2018,Capital Float,Finance,Online Lending Platform,Bengaluru,Amazon,Private Equity Funding,"2,20,00,000",N/A
