Sl No.,Date,Startup Name,Industry Category,Sub-Category,City  Location,Investors Name,Investment Type,Amount in USD,Remarks
2637,7/23/2015,HolidayIQ,Travel information portal,N/A,Bangalore,MakeMyTrip,Private Equity Funding,"1,50,00,000",Strategic Investment
2638,7/23/2015,Fitternity,Fitness Marketplace,N/A,Mumbai,Exfinity Venture Partners,Private Equity Funding,"10,00,000",Series A
2639,7/23/2015,Quikr,Online & Mobile classified listings,N/A,Mumbai,"AB Kinnevik, Falcon Edge Capital, Coatue Management",Private Equity Funding,"6,00,00,000",Late Stage
2640,7/23/2015,JetSetGo,Private Jet/ Helicopter Marketplace,N/A,New Delhi,YourWeCan Ventures,Seed Funding,,N/A
2641,7/24/2015,BroEx,Real Estate Broker network App,N/A,Gurgaon,Lightspeed India,Private Equity Funding,"10,00,000",Bridge round
2642,7/25/2015,Shopatplaces,Ethnic/ Traditional Fashion Store,N/A,New Delhi,Indian Angel Network,Seed Funding,,N/A
2643,7/25/2015,CredR,Used Bikes Marketplace,N/A,Mumbai,Fidelity Growth Partners,Private Equity Funding,"1,50,00,000",Series A
2644,7/27/2015,ManageMySpa,Spa & Salon Management Software,N/A,Hyderabad,Accel Partners,Private Equity Funding,"60,00,000",Series A
2645,7/27/2015,Townrush,B2B logistics delivery platform,N/A,Bangalore,Lightspeed Venture Partners,Seed Funding,,N/A
2646,7/27/2015,Locus,Logistics Automation Platform,N/A,Bangalore,"growX ventures, Manish Singhal",Seed Funding,,N/A
2647,7/27/2015,Bevy,Online Hiring Platform,N/A,Bangalore,Varun Agarwal & Others,Seed Funding,,N/A
2648,7/28/2015,Pepperfry,Online home d\\xc3\\xa9cor marketplace,N/A,Mumbai,"Goldman Sachs, Zodius Technology Fund, Bertelsmann India Investments Norwest Venture Partners.",Private Equity Funding,"10,00,00,000",Series D
2649,7/28/2015,Flipkart.com,Online Marketplace,N/A,Bangalore,Steadview Capital and existing investors,Private Equity Funding,"70,00,00,000","Late Stage, 10th Round More here"
2650,7/28/2015,Opinio,Hyperlocal food & grocery store,N/A,Bangalore,"Accel Partners, Traxcn Labs & Others",Seed Funding,"13,00,000",N/A
2651,7/28/2015,Zoctr,Health-Tech platform,N/A,Mumbai,"Sandeep Parwal, Krishan Gupta & Others",Seed Funding,"10,00,000",N/A
2652,7/29/2015,Zimmber,Hyperlocal Handyman Services,N/A,Mumbai,"IDG Ventures India, Omidyar Network, Sherpalo Ventures, Mohandas Pai",Private Equity Funding,"20,00,000",Series A
2653,7/29/2015,trueHb,Medical Tech Instruments,N/A,New Delhi,"Sachin and Binny Bansal, Malvinder and Shivinder Singh, Gurpreet Singh & others",Seed Funding,"24,00,000",N/A
2654,7/29/2015,Zovi.com / Little App,Hyperlocal Deals Marketplace,N/A,Bangalore,"Paytm, SAIF Partners, Tiger Global Management & others",Private Equity Funding,"5,00,00,000",Series A
2655,7/29/2015,Swajal,Innovative Water Solutions,N/A,Gurgaon,Abhishek Gupta,Private Equity Funding,"12,00,000",Series A
2656,7/30/2015,Pipa Bella,Online Jewelry Store,N/A,Mumbai,LionRock Capital,Private Equity Funding,"6,00,000",Pre-Series A
2657,7/30/2015,Pragmatix,Business intelligence & Analytics,N/A,Mumbai,SIDBI Venture Capital Ltd,Private Equity Funding,"24,00,000",Series A
2658,7/30/2015,Droom.in,Used Vehicle Marketplace,N/A,New Delhi,"Lightbox Ventures, Beenos",Private Equity Funding,"1,60,00,000",Series A
2659,7/30/2015,MadRat Games,Educational Board Games,N/A,Bangalore,"Kunal Bahl, Rohit Bansal",Seed Funding,"1,68,000",N/A
2660,7/30/2015,Noodle Play,Chinese food delivery,N/A,Mumbai,"Elliot Stechman, Gautam Sinha, Ambarish Ray",Seed Funding,"1,68,000",N/A
2661,7/30/2015,Wassup,On-Demand Laundry & Dry cleaning App,N/A,Chennai,B S Nagesh,Private Equity Funding,,Pre-Series A
2662,7/30/2015,Cartisan,On-Demand Car services App,N/A,Bangalore,"YouWeCan Ventures, Aprameya Radhakrishna",Seed Funding,,N/A
2663,7/31/2015,LazyLad,Hyperlocal Grocery App,N/A,Gurgaon,"Jai Choi, Kiyohiro Sugashita, Hirokazu",Private Equity Funding,"5,00,000",pre-Series A
2664,7/31/2015,TripFactory,Online Curated Holiday package bookings,N/A,Bangalore,"Aarin Capital Partners,",Private Equity Funding,,Series A
2665,7/31/2015,Prothom,Hasbro Toy Manufacturer,N/A,Pune,Oliphabs Capital,Private Equity Funding,"20,00,000",Series A
2666,7/31/2015,Bona Vita,Travel Tech,N/A,Gurgaon,MakeMyTrip,Private Equity Funding,"50,00,000",Strategic Investment
2667,1/6/2015,Vyomo,Beauty and Wellness Platform,N/A,New Delhi,Aprameya Radhakrishna,Seed Funding,,N/A
2668,1/6/2015,Veeba Foods,Healthy Food Manufacturer,N/A,New Delhi,"DSG Consumer Partners, Saama Capital.",Private Equity Funding,"60,00,000",Series B
2669,1/6/2015,Truebil,Used Car Marketplace,N/A,Mumbai,"Kae Capital, Anupam Mittal",Seed Funding,"5,00,000",N/A
2670,1/6/2015,Meritnation,Online Learning Platform,N/A,New Delhi,InfoEdge,Private Equity Funding,"40,00,000",Series C
2671,1/6/2015,Eattreatonline,Healthy Food Online Community,N/A,New Delhi,Group of 15 Angel Investors,Seed Funding,"3,50,000",N/A
2672,1/6/2015,CredR,Used two-wheeler Marketplace,N/A,Mumbai,GrowthStory,Seed Funding,,N/A
2673,1/6/2015,Glamrs,Online Fashion Video Portal,N/A,Mumbai,"Ventureworks India, Blume Ventures, Batlivala & Karani Securities, Nikunj Jhaveri",Private Equity Funding,"10,00,000",Pre-Series A
